"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,hit,strikeout,batting_avg,p_era,p_pitchout,p_relief_no_out,p_starting_p,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Lyles, Jordan",543475,2023,32,31,177.2,176,120,0.255,6.28,0,0,31,0.34,0.339,34.6,9.9,35.5,78.64686,93.74967,20.1,48.1
"Lorenzen, Michael",547179,2023,31,29,153,138,111,0.243,4.18,0,0,25,0.304,0.326,33.9,8,40.2,80.11626,94.29567,21.6,49.4
"Wheeler, Zack",554430,2023,33,32,192,168,212,0.229,3.61,0,0,32,0.277,0.277,35.1,5.1,36.4,75.39359,93.26742,28.6,51.3
"Corbin, Patrick",571578,2023,33,32,180,210,124,0.293,5.2,0,0,32,0.353,0.373,37.9,9.3,44,80.192,94.92742,21.2,45.7
"Heaney, Andrew",571760,2023,32,34,147.1,143,151,0.251,4.15,0,0,28,0.335,0.327,31.4,10.2,38.6,80.11819,94.26314,26.4,48.2
"Mikolas, Miles",571945,2023,34,35,201.1,226,137,0.282,4.78,0,0,35,0.33,0.354,38.9,9.8,43,80.24285,94.59318,16.7,49.7
"Stroman, Marcus",573186,2023,32,27,136.2,120,119,0.231,3.95,0,0,25,0.285,0.318,30.7,5,41.4,79.85028,94.62567,22.3,45.1
"Kikuchi, Yusei",579328,2023,32,32,167.2,165,181,0.255,3.86,1,0,32,0.319,0.319,37.7,9,42.4,80.8627,94.43232,28,48.7
"Gausman, Kevin",592332,2023,32,31,185,163,237,0.233,3.16,0,0,31,0.292,0.303,36.9,9.9,43.3,77.89759,94.8032,28.9,49.3
"Gray, Jon",592351,2023,31,29,157.1,149,142,0.256,4.12,0,0,29,0.317,0.325,35.5,6.4,39.5,78.99117,94.12679,26.3,50.8
